time,LSB
0.000000,1384.000000
0.006667,16120.000000
0.013333,-229.000000
0.020000,3064.000000
0.026667,-251.000000
0.033333,-264.000000
0.040000,-264.000000
0.046667,9464.000000
0.053333,2299.000000
0.060000,-238.000000
0.066667,9976.000000
0.073333,-1253.000000
0.080000,-1025.000000
0.086667,-769.000000
0.093333,-769.000000
0.100000,-513.000000
0.106667,-257.000000
0.113333,0.000000
0.120000,512.000000
0.126667,1536.000000
0.133333,2048.000000
0.140000,2560.000000
0.146667,2560.000000
0.153333,2048.000000
0.160000,1280.000000
0.166667,512.000000
0.173333,-512.000000
0.180000,-1793.000000
0.186667,-3073.000000
0.193333,-4353.000000
0.200000,-4865.000000
0.206667,-5121.000000
0.213333,-5377.000000
0.220000,-5633.000000
0.226667,-5633.000000
0.233333,8703.000000
0.240000,-32512.000000
0.246667,-22528.000000
0.253333,-22528.000000
0.260000,23552.000000
0.266667,-14336.000000
0.273333,30207.000000
0.280000,27391.000000
0.286667,27391.000000
0.293333,-30721.000000
0.300000,-18945.000000
0.306667,-12289.000000
0.313333,-9217.000000
0.320000,-7169.000000
0.326667,-4609.000000
0.333333,-3073.000000
0.340000,-2817.000000
0.346667,-2817.000000
0.353333,-2817.000000
0.360000,-2817.000000
0.366667,-2305.000000
0.373333,-1537.000000
0.380000,-769.000000
0.386667,-257.000000
0.393333,256.000000
0.400000,1024.000000
0.406667,1792.000000
0.413333,3072.000000
0.420000,4608.000000
0.426667,6400.000000
0.433333,8192.000000
0.440000,10496.000000
0.446667,13056.000000
0.453333,15360.000000
0.460000,17664.000000
0.466667,19712.000000
0.473333,20736.000000
0.480000,21248.000000
0.486667,20992.000000
0.493333,20224.000000
0.500000,18944.000000
0.506667,17664.000000
0.513333,15872.000000
0.520000,13824.000000
0.526667,11520.000000
0.533333,8960.000000
0.540000,6656.000000
0.546667,4352.000000
0.553333,2560.000000
0.560000,1024.000000
0.566667,-512.000000
0.573333,-1537.000000
0.580000,-2049.000000
0.586667,-2049.000000
0.593333,-1793.000000
0.600000,-1281.000000
0.606667,-1025.000000
0.613333,-769.000000
0.620000,-513.000000
0.626667,-257.000000
0.633333,-256.000000
0.640000,-256.000000
0.646667,-512.000000
0.653333,-769.000000
0.660000,-1025.000000
0.666667,-1537.000000
0.673333,-1793.000000
0.680000,-1793.000000
0.686667,-1793.000000
0.693333,-1537.000000
0.700000,-1281.000000
0.706667,-1281.000000
0.713333,-1281.000000
0.720000,-1281.000000
0.726667,-1025.000000
0.733333,-769.000000
0.740000,-769.000000
0.746667,-1025.000000
0.753333,-769.000000
0.760000,-257.000000
0.766667,512.000000
0.773333,1280.000000
0.780000,1792.000000
0.786667,2304.000000
0.793333,2560.000000
0.800000,2816.000000
0.806667,2304.000000
0.813333,1280.000000
0.820000,0.000000
0.826667,-1280.000000
0.833333,-2561.000000
0.840000,-3841.000000
0.846667,-4865.000000
0.853333,-8705.000000
0.860000,-11009.000000
0.866667,-11009.000000
0.873333,-2561.000000
0.880000,20223.000000
0.886667,-30720.000000
0.893333,-30720.000000
0.900000,26112.000000
0.906667,-256.000000
0.913333,-28672.000000
0.920000,26111.000000
0.926667,26111.000000
0.933333,-33025.000000
0.940000,-21249.000000
0.946667,-12801.000000
0.953333,-9729.000000
0.960000,-9473.000000
0.966667,-9217.000000
0.973333,-8961.000000
0.980000,-7169.000000
0.986667,-4353.000000
0.993333,-3329.000000
1.000000,-2817.000000
1.006667,-2561.000000
1.013333,-2049.000000
1.020000,-1537.000000
1.026667,-1025.000000
1.033333,-513.000000
1.040000,767.000000
1.046667,2048.000000
1.053333,3328.000000
1.060000,4608.000000
1.066667,6144.000000
1.073333,7936.000000
1.080000,9472.000000
1.086667,11008.000000
1.093333,12288.000000
1.100000,13312.000000
