sample,t_sec,ecg
sample_0,0.0,0.060455322265625
sample_0,0.006667,0.507568359375
sample_0,0.013333,0.008636474609375
sample_0,0.02,0.109130859375
sample_0,0.026667,0.007965087890625
sample_0,0.033333,0.007568359375
sample_0,0.04,0.007568359375
sample_0,0.046667,0.304443359375
sample_0,0.053333,0.085784912109375
sample_0,0.06,0.00836181640625
sample_0,0.066667,0.320068359375
sample_0,0.073333,-0.139801025390625
sample_0,0.08,-0.148468017578125
sample_0,0.086667,-0.164093017578125
sample_0,0.093333,-0.171905517578125
sample_0,0.1,-0.187530517578125
sample_0,0.106667,-0.187530517578125
sample_0,0.113333,-0.171905517578125
sample_0,0.12,-0.140655517578125
sample_0,0.126667,-0.109405517578125
sample_0,0.133333,-0.078155517578125
sample_0,0.14,-0.070343017578125
sample_0,0.146667,-0.085968017578125
sample_0,0.153333,-0.101593017578125
sample_0,0.16,-0.242218017578125
sample_0,0.166667,-0.250030517578125
sample_0,0.173333,-0.257843017578125
sample_0,0.18,-0.257843017578125
sample_0,0.186667,-0.015655517578125
sample_0,0.193333,0.687469482421875
sample_0,0.2,-0.6640625
sample_0,0.206667,-0.4921875
sample_0,0.213333,-0.4921875
sample_0,0.22,-0.921875
sample_0,0.226667,0.2578125
sample_0,0.233333,-0.4765625
sample_0,0.24,-0.906280517578125
sample_0,0.246667,0.992156982421875
sample_0,0.253333,0.992156982421875
sample_0,0.26,-0.773468017578125
sample_0,0.266667,-0.343780517578125
sample_0,0.273333,-0.117218017578125
sample_0,0.28,-0.054718017578125
sample_0,0.286667,-0.054718017578125
sample_0,0.293333,-0.054718017578125
sample_0,0.3,-0.039093017578125
sample_0,0.306667,-0.031280517578125
sample_0,0.313333,-0.031280517578125
sample_0,0.32,-0.054718017578125
sample_0,0.326667,-0.093780517578125
sample_0,0.333333,-0.132843017578125
sample_0,0.34,-0.164093017578125
sample_0,0.346667,-0.187530517578125
sample_0,0.353333,-0.210968017578125
sample_0,0.36,-0.226593017578125
sample_0,0.366667,-0.242218017578125
sample_0,0.373333,-0.234405517578125
sample_0,0.38,-0.203155517578125
sample_0,0.386667,-0.171905517578125
sample_0,0.393333,-0.132843017578125
sample_0,0.4,-0.101593017578125
sample_0,0.406667,-0.093780517578125
sample_0,0.413333,-0.078155517578125
sample_0,0.42,-0.070343017578125
sample_0,0.426667,-0.062530517578125
sample_0,0.433333,-0.046905517578125
sample_0,0.44,-3.0517578125e-05
sample_0,0.446667,0.046844482421875
sample_0,0.453333,0.09375
sample_0,0.46,0.1328125
sample_0,0.466667,0.1484375
sample_0,0.473333,0.140625
sample_0,0.48,0.1328125
sample_0,0.486667,0.1015625
sample_0,0.493333,0.0546875
sample_0,0.5,0.0
sample_0,0.506667,-0.070343017578125
sample_0,0.513333,-0.140655517578125
sample_0,0.52,-0.187530517578125
sample_0,0.526667,-0.195343017578125
sample_0,0.533333,-0.179718017578125
sample_0,0.54,-0.132843017578125
sample_0,0.546667,-0.093780517578125
sample_0,0.553333,-0.070343017578125
sample_0,0.56,-0.054718017578125
sample_0,0.566667,-0.039093017578125
sample_0,0.573333,-0.031280517578125
sample_0,0.58,-0.031280517578125
sample_0,0.586667,-0.062530517578125
sample_0,0.593333,-0.101593017578125
sample_0,0.6,-0.117218017578125
sample_0,0.606667,-0.101593017578125
sample_0,0.613333,-0.046905517578125
sample_0,0.62,0.046844482421875
sample_0,0.626667,0.15625
sample_0,0.633333,0.28125
sample_0,0.64,0.40625
sample_0,0.646667,0.5078125
sample_0,0.653333,0.5703125
sample_0,0.66,0.6015625
sample_0,0.666667,0.609375
sample_0,0.673333,0.609375
sample_0,0.68,0.5859375
sample_0,0.686667,0.546875
sample_0,0.693333,0.5078125
sample_0,0.7,0.46875
sample_0,0.706667,0.4609375
sample_0,0.713333,0.484375
sample_0,0.72,0.5234375
sample_0,0.726667,0.5703125
sample_0,0.733333,0.6171875
sample_0,0.74,0.6484375
sample_0,0.746667,0.671875
sample_0,0.753333,0.671875
sample_0,0.76,0.65625
sample_0,0.766667,0.625
sample_0,0.773333,0.5703125
sample_0,0.78,0.515625
sample_0,0.786667,0.4375
sample_0,0.793333,0.359375
sample_0,0.8,0.3046875
sample_0,0.806667,0.265625
