method,sample,pearson_r,z_mae,hr_ref_mean_bpm,hr_al_mean_bpm,ibi_rmse_s,coherence_pk_0p8_3Hz
XCORR,sample_0,0.005227396244585595,1.0948954050061863,135.39075720376724,135.3869047619048,0.2542982952423116,
GCC-PHAT,sample_0,0.005227396244585595,1.0948954050061863,135.39075720376724,135.3869047619048,0.2542982952423116,
Peaks+Drift,sample_0,0.01293536187243377,1.090606416104707,135.39075720376724,131.73403466566523,0.2545422176297171,
XCORR,sample_1,0.037005329874590785,1.0586217565901053,146.26113935243552,115.44768239890192,0.338253057399735,
GCC-PHAT,sample_1,0.037005329874590785,1.0586217565901053,146.26113935243552,115.44768239890192,0.338253057399735,
Peaks+Drift,sample_1,0.013799379069608677,1.0614186031763706,146.26113935243552,99.66138819453784,0.4041491758418235,0.06627670480310664
XCORR,sample_2,0.01674971061937444,1.091778979219102,151.09592287044578,124.6084656084656,0.26156222629109765,
GCC-PHAT,sample_2,0.01674971061937444,1.091778979219102,151.09592287044578,124.6084656084656,0.26156222629109765,
Peaks+Drift,sample_2,-0.0025358096882058113,1.0900568352294029,151.09592287044578,104.38514961083759,0.3172458763274065,0.11364022115461098
XCORR,sample_3,0.03316334651392765,1.045537718229626,159.10114967208418,131.6565349544073,0.21984091002625097,
GCC-PHAT,sample_3,0.03316334651392765,1.045537718229626,159.10114967208418,131.6565349544073,0.21984091002625097,
Peaks+Drift,sample_3,0.058619550020977206,1.0369904450255267,159.10114967208418,119.8033213378201,0.25092290749854157,
XCORR,sample_4,0.03824862418204302,1.0781235633354933,139.54540002120086,122.86552701945094,0.2112923024409981,
GCC-PHAT,sample_4,0.03824862418204302,1.0781235633354933,139.54540002120086,122.86552701945094,0.2112923024409981,
Peaks+Drift,sample_4,0.001731337418521773,1.106588256321409,139.54540002120086,105.30420830014508,0.2905096202941738,0.13372228213813514
XCORR,sample_5,0.09380417137681377,1.0257647050004786,133.00243208154077,119.69239072127667,0.19584327918052682,
GCC-PHAT,sample_5,0.09380417137681377,1.0257647050004786,133.00243208154077,119.69239072127667,0.19584327918052682,
Peaks+Drift,sample_5,-0.021058109647581095,1.077981190463696,133.00243208154077,112.77262451684307,0.22107183118990756,
