time,LSB
0.000000,1789.000000
0.006667,16632.000000
0.013333,283.000000
0.020000,3576.000000
0.026667,261.000000
0.033333,248.000000
0.040000,248.000000
0.046667,9976.000000
0.053333,2811.000000
0.060000,274.000000
0.066667,10488.000000
0.073333,16667.000000
0.080000,16128.000000
0.086667,15360.000000
0.093333,13824.000000
0.100000,11776.000000
0.106667,9472.000000
0.113333,7424.000000
0.120000,5120.000000
0.126667,2816.000000
0.133333,1280.000000
0.140000,0.000000
0.146667,-513.000000
0.153333,-769.000000
0.160000,-513.000000
0.166667,-1.000000
0.173333,255.000000
0.180000,512.000000
0.186667,512.000000
0.193333,512.000000
0.200000,256.000000
0.206667,256.000000
0.213333,256.000000
0.220000,256.000000
0.226667,0.000000
0.233333,-257.000000
0.240000,-769.000000
0.246667,-1025.000000
0.253333,-769.000000
0.260000,-257.000000
0.266667,255.000000
0.273333,768.000000
0.280000,1280.000000
0.286667,1792.000000
0.293333,2048.000000
0.300000,2304.000000
0.306667,1792.000000
0.313333,1280.000000
0.320000,768.000000
0.326667,256.000000
0.333333,-256.000000
0.340000,-769.000000
0.346667,-1025.000000
0.353333,-1281.000000
0.360000,-1537.000000
0.366667,-1537.000000
0.373333,-1537.000000
0.380000,-1281.000000
0.386667,-769.000000
0.393333,-257.000000
0.400000,511.000000
0.406667,512.000000
0.413333,512.000000
0.420000,256.000000
0.426667,256.000000
0.433333,256.000000
0.440000,256.000000
0.446667,256.000000
0.453333,256.000000
0.460000,512.000000
0.466667,512.000000
0.473333,768.000000
0.480000,512.000000
0.486667,256.000000
0.493333,-256.000000
0.500000,-513.000000
0.506667,-769.000000
0.513333,-769.000000
0.520000,-1025.000000
0.526667,-3073.000000
0.533333,-3073.000000
0.540000,-2817.000000
0.546667,8959.000000
0.553333,28160.000000
0.560000,-29696.000000
0.566667,-29696.000000
0.573333,22272.000000
0.580000,-3584.000000
0.586667,-17409.000000
0.593333,-19201.000000
0.600000,-19201.000000
0.606667,-16129.000000
0.613333,-12033.000000
0.620000,-9985.000000
0.626667,-7937.000000
0.633333,-5633.000000
0.640000,-4353.000000
0.646667,-4097.000000
0.653333,-3841.000000
0.660000,-3329.000000
0.666667,-3073.000000
0.673333,-2305.000000
0.680000,-1537.000000
0.686667,-1.000000
0.693333,1279.000000
0.700000,2304.000000
0.706667,2560.000000
0.713333,3584.000000
0.720000,4096.000000
0.726667,4864.000000
0.733333,5632.000000
0.740000,5888.000000
0.746667,5888.000000
0.753333,5632.000000
0.760000,5888.000000
0.766667,6912.000000
0.773333,8192.000000
0.780000,9472.000000
0.786667,10496.000000
0.793333,10752.000000
0.800000,10752.000000
0.806667,10496.000000
0.813333,9984.000000
0.820000,9216.000000
0.826667,7680.000000
0.833333,5888.000000
0.840000,4096.000000
0.846667,2816.000000
0.853333,2304.000000
0.860000,1536.000000
0.866667,768.000000
0.873333,-256.000000
0.880000,-1025.000000
0.886667,-1281.000000
0.893333,-1537.000000
0.900000,-1537.000000
0.906667,-1537.000000
0.913333,-1281.000000
0.920000,-769.000000
0.926667,-513.000000
0.933333,-513.000000
0.940000,-513.000000
0.946667,-769.000000
0.953333,-1025.000000
0.960000,-769.000000
0.966667,-513.000000
0.973333,-257.000000
0.980000,-1.000000
0.986667,255.000000
0.993333,768.000000
1.000000,1024.000000
1.006667,1024.000000
1.013333,768.000000
1.020000,0.000000
1.026667,-513.000000
1.033333,-769.000000
1.040000,-513.000000
1.046667,-257.000000
1.053333,-257.000000
1.060000,-513.000000
1.066667,-769.000000
1.073333,-769.000000
1.080000,-1025.000000
1.086667,-1281.000000
1.093333,-1793.000000
1.100000,-2305.000000
1.106667,-2561.000000
1.113333,-2305.000000
1.120000,-1281.000000
1.126667,-257.000000
1.133333,767.000000
1.140000,1024.000000
1.146667,1280.000000
1.153333,1536.000000
1.160000,1792.000000
1.166667,1536.000000
1.173333,1024.000000
1.180000,768.000000
1.186667,512.000000
1.193333,512.000000
1.200000,768.000000
1.206667,1280.000000
1.213333,1792.000000
1.220000,2304.000000
1.226667,2048.000000
1.233333,1536.000000
1.240000,512.000000
1.246667,-512.000000
1.253333,-1281.000000
1.260000,-2305.000000
1.266667,-3585.000000
1.273333,-6145.000000
1.280000,-6657.000000
1.286667,-6657.000000
1.293333,-3073.000000
1.300000,9215.000000
1.306667,27904.000000
1.313333,-27904.000000
1.320000,-27904.000000
1.326667,25344.000000
1.333333,-256.000000
1.340000,-18177.000000
1.346667,-23041.000000
1.353333,-23041.000000
1.360000,-18433.000000
1.366667,-11521.000000
1.373333,-7169.000000
1.380000,-4353.000000
1.386667,-2305.000000
1.393333,-1793.000000
1.400000,-1537.000000
1.406667,-1025.000000
1.413333,-513.000000
1.420000,-1.000000
1.426667,255.000000
1.433333,256.000000
1.440000,0.000000
1.446667,-257.000000
1.453333,-257.000000
1.460000,-1.000000
1.466667,511.000000
1.473333,1280.000000
1.480000,2048.000000
1.486667,3072.000000
1.493333,3840.000000
1.500000,5120.000000
1.506667,6656.000000
1.513333,7936.000000
1.520000,8960.000000
1.526667,9728.000000
1.533333,10752.000000
1.540000,12288.000000
1.546667,13568.000000
1.553333,14336.000000
1.560000,14080.000000
1.566667,13312.000000
1.573333,12032.000000
1.580000,10752.000000
1.586667,8704.000000
1.593333,6656.000000
1.600000,4864.000000
1.606667,3072.000000
1.613333,2304.000000
1.620000,1792.000000
