time,LSB
0.000000,1981.000000
0.006667,16632.000000
0.013333,283.000000
0.020000,3576.000000
0.026667,261.000000
0.033333,248.000000
0.040000,248.000000
0.046667,9976.000000
0.053333,2811.000000
0.060000,274.000000
0.066667,10488.000000
0.073333,-4581.000000
0.080000,-4865.000000
0.086667,-5377.000000
0.093333,-5633.000000
0.100000,-6145.000000
0.106667,-6145.000000
0.113333,-5633.000000
0.120000,-4609.000000
0.126667,-3585.000000
0.133333,-2561.000000
0.140000,-2305.000000
0.146667,-2817.000000
0.153333,-3329.000000
0.160000,-7937.000000
0.166667,-8193.000000
0.173333,-8449.000000
0.180000,-8449.000000
0.186667,-513.000000
0.193333,22527.000000
0.200000,-21760.000000
0.206667,-16128.000000
0.213333,-16128.000000
0.220000,-30208.000000
0.226667,8448.000000
0.233333,-15616.000000
0.240000,-29697.000000
0.246667,32511.000000
0.253333,32511.000000
0.260000,-25345.000000
0.266667,-11265.000000
0.273333,-3841.000000
0.280000,-1793.000000
0.286667,-1793.000000
0.293333,-1793.000000
0.300000,-1281.000000
0.306667,-1025.000000
0.313333,-1025.000000
0.320000,-1793.000000
0.326667,-3073.000000
0.333333,-4353.000000
0.340000,-5377.000000
0.346667,-6145.000000
0.353333,-6913.000000
0.360000,-7425.000000
0.366667,-7937.000000
0.373333,-7681.000000
0.380000,-6657.000000
0.386667,-5633.000000
0.393333,-4353.000000
0.400000,-3329.000000
0.406667,-3073.000000
0.413333,-2561.000000
0.420000,-2305.000000
0.426667,-2049.000000
0.433333,-1537.000000
0.440000,-1.000000
0.446667,1535.000000
0.453333,3072.000000
0.460000,4352.000000
0.466667,4864.000000
0.473333,4608.000000
0.480000,4352.000000
0.486667,3328.000000
0.493333,1792.000000
0.500000,0.000000
0.506667,-2305.000000
0.513333,-4609.000000
0.520000,-6145.000000
0.526667,-6401.000000
0.533333,-5889.000000
0.540000,-4353.000000
0.546667,-3073.000000
0.553333,-2305.000000
0.560000,-1793.000000
0.566667,-1281.000000
0.573333,-1025.000000
0.580000,-1025.000000
0.586667,-2049.000000
0.593333,-3329.000000
0.600000,-3841.000000
0.606667,-3329.000000
0.613333,-1537.000000
0.620000,1535.000000
0.626667,5120.000000
0.633333,9216.000000
0.640000,13312.000000
0.646667,16640.000000
0.653333,18688.000000
0.660000,19712.000000
0.666667,19968.000000
0.673333,19968.000000
0.680000,19200.000000
0.686667,17920.000000
0.693333,16640.000000
0.700000,15360.000000
0.706667,15104.000000
0.713333,15872.000000
0.720000,17152.000000
0.726667,18688.000000
0.733333,20224.000000
0.740000,21248.000000
0.746667,22016.000000
0.753333,22016.000000
0.760000,21504.000000
0.766667,20480.000000
0.773333,18688.000000
0.780000,16896.000000
0.786667,14336.000000
0.793333,11776.000000
0.800000,9984.000000
0.806667,8704.000000
0.813333,8192.000000
0.820000,8192.000000
0.826667,8192.000000
0.833333,7680.000000
0.840000,6912.000000
0.846667,6400.000000
0.853333,5888.000000
0.860000,5120.000000
0.866667,3328.000000
0.873333,768.000000
0.880000,-1536.000000
0.886667,-2561.000000
0.893333,-1793.000000
0.900000,-1025.000000
0.906667,-1.000000
0.913333,767.000000
0.920000,-5632.000000
0.926667,-5633.000000
0.933333,1023.000000
0.940000,23040.000000
0.946667,-27136.000000
0.953333,-27136.000000
0.960000,31232.000000
0.966667,9728.000000
0.973333,-4864.000000
0.980000,-4865.000000
0.986667,-3073.000000
0.993333,3327.000000
1.000000,8448.000000
1.006667,8448.000000
1.013333,4608.000000
1.020000,-768.000000
1.026667,-2049.000000
1.033333,-2305.000000
1.040000,-2817.000000
1.046667,-3841.000000
1.053333,-3841.000000
1.060000,-3073.000000
1.066667,-513.000000
1.073333,2303.000000
1.080000,4096.000000
1.086667,5120.000000
1.093333,4864.000000
1.100000,5120.000000
1.106667,5632.000000
1.113333,5632.000000
1.120000,4608.000000
1.126667,3072.000000
1.133333,1536.000000
1.140000,1024.000000
1.146667,2048.000000
1.153333,4096.000000
1.160000,6144.000000
1.166667,7680.000000
1.173333,8448.000000
1.180000,9216.000000
1.186667,9728.000000
1.193333,9984.000000
1.200000,9216.000000
1.206667,7936.000000
1.213333,6400.000000
1.220000,5376.000000
1.226667,4864.000000
1.233333,4352.000000
1.240000,4096.000000
1.246667,3584.000000
1.253333,3328.000000
1.260000,2816.000000
1.266667,2304.000000
1.273333,2048.000000
1.280000,1792.000000
1.286667,1280.000000
1.293333,512.000000
1.300000,-256.000000
1.306667,-1025.000000
1.313333,-1025.000000
1.320000,-1025.000000
1.326667,-769.000000
1.333333,-769.000000
1.340000,-769.000000
1.346667,-257.000000
1.353333,255.000000
1.360000,512.000000
1.366667,256.000000
1.373333,-768.000000
1.380000,-2561.000000
1.386667,-4353.000000
1.393333,-5889.000000
1.400000,-6913.000000
1.406667,-7681.000000
1.413333,-7937.000000
1.420000,-7681.000000
1.426667,-5889.000000
1.433333,-3073.000000
1.440000,-257.000000
1.446667,2559.000000
1.453333,4096.000000
1.460000,4864.000000
1.466667,5120.000000
1.473333,5120.000000
1.480000,4864.000000
1.486667,3840.000000
1.493333,2816.000000
1.500000,2048.000000
1.506667,1536.000000
1.513333,1024.000000
1.520000,512.000000
1.526667,0.000000
1.533333,-513.000000
1.540000,-513.000000
1.546667,-513.000000
1.553333,255.000000
1.560000,1280.000000
1.566667,2560.000000
1.573333,3840.000000
1.580000,4352.000000
1.586667,4096.000000
1.593333,2560.000000
1.600000,512.000000
1.606667,-1792.000000
1.613333,-3841.000000
1.620000,-6145.000000
1.626667,-7681.000000
1.633333,-8449.000000
1.640000,-7937.000000
1.646667,255.000000
1.653333,0.000000
1.660000,-1.000000
1.666667,3071.000000
1.673333,22016.000000
1.680000,-27392.000000
1.686667,-27392.000000
1.693333,32768.000000
1.700000,9472.000000
1.706667,-21760.000000
1.713333,30463.000000
1.720000,30463.000000
1.726667,-30721.000000
1.733333,-20993.000000
1.740000,-9985.000000
1.746667,511.000000
1.753333,5376.000000
1.760000,5376.000000
1.766667,2048.000000
1.773333,-5376.000000
1.780000,-9985.000000
1.786667,-9985.000000
1.793333,-9729.000000
1.800000,-8961.000000
1.806667,-7681.000000
1.813333,-5633.000000
1.820000,-3585.000000
1.826667,-2305.000000
1.833333,-513.000000
1.840000,1023.000000
1.846667,2048.000000
1.853333,2560.000000
1.860000,2816.000000
1.866667,2560.000000
1.873333,2304.000000
1.880000,2560.000000
1.886667,3072.000000
1.893333,4096.000000
1.900000,5376.000000
1.906667,6912.000000
1.913333,8192.000000
1.920000,9216.000000
1.926667,9216.000000
1.933333,9216.000000
1.940000,9216.000000
1.946667,9216.000000
1.953333,8448.000000
1.960000,6912.000000
1.966667,5632.000000
1.973333,4608.000000
1.980000,4096.000000
1.986667,3328.000000
1.993333,2560.000000
2.000000,1024.000000
2.006667,-256.000000
2.013333,-769.000000
2.020000,-1281.000000
2.026667,-1793.000000
2.033333,-2305.000000
2.040000,-3329.000000
2.046667,-4097.000000
2.053333,-4609.000000
2.060000,-4865.000000
2.066667,-5377.000000
2.073333,-6145.000000
2.080000,-6913.000000
2.086667,-7425.000000
2.093333,-7681.000000
2.100000,-7681.000000
2.106667,-8193.000000
2.113333,-8961.000000
2.120000,-9217.000000
2.126667,-9729.000000
2.133333,-9985.000000
2.140000,-10497.000000
2.146667,-11265.000000
2.153333,-11777.000000
2.160000,-11521.000000
2.166667,-11009.000000
2.173333,-10241.000000
2.180000,-9985.000000
2.186667,-10497.000000
2.193333,-11265.000000
2.200000,-12033.000000
2.206667,-12545.000000
2.213333,-12545.000000
2.220000,-12801.000000
2.226667,-13057.000000
2.233333,-13057.000000
2.240000,-12289.000000
2.246667,-10497.000000
2.253333,-7937.000000
2.260000,-5633.000000
2.266667,-4353.000000
2.273333,-3585.000000
2.280000,-2817.000000
2.286667,-1793.000000
2.293333,-513.000000
2.300000,255.000000
2.306667,256.000000
2.313333,256.000000
2.320000,768.000000
2.326667,1024.000000
2.333333,1536.000000
2.340000,1536.000000
2.346667,1280.000000
2.353333,768.000000
2.360000,256.000000
2.366667,-1280.000000
2.373333,-1281.000000
2.380000,-769.000000
2.386667,11007.000000
2.393333,-30464.000000
2.400000,-17664.000000
2.406667,-17664.000000
2.413333,-30976.000000
2.420000,7936.000000
2.426667,-13056.000000
2.433333,-20737.000000
2.440000,-20737.000000
2.446667,-19969.000000
2.453333,-18689.000000
2.460000,-15873.000000
2.466667,-10241.000000
2.473333,-3841.000000
2.480000,-513.000000
2.486667,-513.000000
2.493333,-2049.000000
2.500000,-3841.000000
2.506667,-3841.000000
2.513333,-3585.000000
2.520000,-2305.000000
2.526667,-769.000000
2.533333,511.000000
2.540000,1024.000000
2.546667,1280.000000
2.553333,2048.000000
2.560000,3072.000000
2.566667,4352.000000
2.573333,4864.000000
2.580000,4864.000000
2.586667,5120.000000
2.593333,5120.000000
2.600000,5888.000000
2.606667,7168.000000
2.613333,8192.000000
2.620000,9216.000000
2.626667,9984.000000
2.633333,10496.000000
2.640000,11008.000000
2.646667,11264.000000
2.653333,11008.000000
2.660000,9728.000000
2.666667,7680.000000
2.673333,5376.000000
2.680000,3072.000000
2.686667,1280.000000
2.693333,-512.000000
2.700000,-3073.000000
2.706667,-5889.000000
2.713333,-8449.000000
2.720000,-9985.000000
2.726667,-11521.000000
2.733333,-12545.000000
2.740000,-13569.000000
2.746667,-14593.000000
2.753333,-14593.000000
2.760000,-13313.000000
2.766667,-11521.000000
2.773333,-9985.000000
2.780000,-8449.000000
2.786667,-7425.000000
2.793333,-6657.000000
2.800000,-5633.000000
2.806667,-5121.000000
2.813333,-5121.000000
2.820000,-5121.000000
2.826667,-4865.000000
2.833333,-4609.000000
2.840000,-4097.000000
2.846667,-3329.000000
2.853333,-2561.000000
2.860000,-1537.000000
2.866667,-513.000000
2.873333,255.000000
2.880000,768.000000
2.886667,1024.000000
2.893333,1280.000000
2.900000,1280.000000
2.906667,768.000000
2.913333,256.000000
2.920000,0.000000
2.926667,-1.000000
2.933333,255.000000
2.940000,512.000000
2.946667,1024.000000
2.953333,1792.000000
2.960000,2304.000000
2.966667,2560.000000
2.973333,2560.000000
2.980000,2560.000000
2.986667,2560.000000
2.993333,3328.000000
3.000000,4608.000000
3.006667,5888.000000
3.013333,7168.000000
3.020000,7680.000000
3.026667,7936.000000
3.033333,7680.000000
3.040000,7168.000000
3.046667,5888.000000
3.053333,3840.000000
