t_sec,ecg
0.0,0.05047761467329936
0.006667,0.499801629688406
0.013333,0.0008545182653279214
0.02,0.10135196996978668
0.026667,0.00018311105685598315
0.033333,-0.00021362956633198035
0.04,-0.00021362956633198035
0.046667,0.2966704306161687
0.053333,0.07800531022064883
0.06,0.0005798516800439467
0.066667,0.3122959074678793
0.073333,-0.522598956266976
0.08,-0.2578203680532243
0.086667,-0.10937833796197394
0.093333,-0.06250190740684225
0.1,-0.06250190740684225
0.106667,-0.11719107638782922
0.113333,-0.19531846064638203
0.12,-0.21875667592394787
0.126667,-0.21875667592394787
0.133333,-0.17969298379467147
0.14,-0.13281655323953978
0.146667,-0.10156559953611866
0.153333,-0.07812738425855281
0.16,-0.07031464583269753
0.166667,-0.07031464583269753
0.173333,-0.07031464583269753
0.18,-0.06250190740684225
0.186667,-0.039063692129276406
0.193333,-0.015625476851710562
0.2,0.0
0.206667,0.01565599536118656
0.213333,0.03128147221289712
0.22,0.046906949064607684
0.226667,0.06253242591631825
0.233333,0.07815790276802881
0.24,0.07815790276802881
0.246667,0.07815790276802881
0.253333,0.06253242591631825
0.26,0.054719687490462965
0.266667,0.046906949064607684
0.273333,0.0390942106387524
0.28,0.02346873378704184
0.286667,3.051850947599719e-05
0.293333,-0.023407696768089847
0.3,-0.039063692129276406
0.306667,-0.04687643055513169
0.313333,-0.04687643055513169
0.32,-0.04687643055513169
0.326667,-0.04687643055513169
0.333333,-0.05468916898098697
0.34,-0.04687643055513169
0.346667,-0.04687643055513169
0.353333,-0.039063692129276406
0.36,-0.031250953703421125
0.366667,-0.039063692129276406
0.373333,-0.031250953703421125
0.38,-0.015625476851710562
0.386667,0.015625476851710562
0.393333,0.054719687490462965
0.4,0.07815790276802881
0.406667,0.08597064119388409
0.413333,0.07815790276802881
0.42,0.06253242591631825
0.426667,0.0390942106387524
0.433333,0.01565599536118656
0.44,-0.007782219916379284
0.446667,-0.031250953703421125
0.453333,0.031250953703421125
0.46,0.03128147221289712
0.466667,0.09378337961973937
0.473333,0.43754387035737174
0.48,-0.7578051087984863
0.486667,-0.2968535416730247
0.493333,-0.2968535416730247
0.5,-0.6093630787072359
0.506667,0.4922330393383587
0.513333,-0.3827936643574328
0.52,-0.6718955046235542
0.526667,-0.6718955046235542
0.533333,-0.500015259254738
0.54,-0.23438215277565844
0.546667,-0.14062929166539506
0.553333,-0.13281655323953978
0.56,-0.13281655323953978
0.566667,-0.14062929166539506
0.573333,-0.15625476851710562
0.58,-0.18750572222052675
0.586667,-0.18750572222052675
0.593333,-0.1718802453688162
0.6,-0.14062929166539506
0.606667,-0.10937833796197394
0.613333,-0.09375286111026337
0.62,-0.0859401226844081
0.626667,-0.07031464583269753
0.633333,-0.06250190740684225
0.64,-0.023438215277565844
0.646667,0.007812738425855281
0.653333,0.02346873378704184
0.66,0.0390942106387524
0.666667,0.054719687490462965
0.673333,0.07034516434217353
0.68,0.09378337961973937
0.686667,0.1250343333231605
0.693333,0.14065981017487106
0.7,0.15628528702658162
0.706667,0.17191076387829218
0.713333,0.17972350230414746
0.72,0.17972350230414746
0.726667,0.1640980254524369
0.733333,0.14065981017487106
0.74,0.10159611804559465
0.746667,0.07034516434217353
0.753333,0.046906949064607684
0.76,0.03128147221289712
0.766667,0.01565599536118656
0.773333,-0.015594958342234566
0.78,-0.039063692129276406
0.786667,-0.06250190740684225
0.793333,-0.07031464583269753
0.8,-0.07812738425855281
0.806667,-0.07812738425855281
0.813333,-0.0859401226844081
0.82,-0.07812738425855281
0.826667,-0.05468916898098697
0.833333,0.0
0.84,0.06253242591631825
0.846667,0.10940885647144993
0.853333,0.13284707174901578
0.86,0.1250343333231605
0.866667,0.09378337961973937
0.873333,0.06253242591631825
0.88,0.00784325693533128
0.886667,-0.03903317361980041
0.893333,-0.07031464583269753
0.9,-0.09375286111026337
0.906667,-0.10156559953611866
0.913333,0.06250190740684225
0.92,0.06253242591631825
0.926667,0.15628528702658162
0.933333,0.6094241157261879
0.94,-0.6249885555589465
0.946667,-0.21872615741447188
0.953333,-0.21872615741447188
0.96,-0.6874904629657888
0.966667,0.3281655323953978
0.973333,-0.3749809259315775
0.98,-0.554704428235725
0.986667,-0.554704428235725
0.993333,-0.3671987060151982
1.0,-0.17969298379467147
1.006667,-0.17969298379467147
1.013333,-0.23438215277565844
1.02,-0.2968840601825007
1.026667,-0.2968840601825007
1.033333,-0.2109439374980926
1.04,-0.07812738425855281
1.046667,-0.031250953703421125
1.053333,-0.031250953703421125
1.06,-0.039063692129276406
1.066667,-0.039063692129276406
1.073333,-0.031250953703421125
1.08,-0.023438215277565844
1.086667,0.0
1.093333,0.01565599536118656
1.1,0.0390942106387524
1.106667,0.06253242591631825
1.113333,0.08597064119388409
1.12,0.1250343333231605
1.126667,0.14847254860072634
1.133333,0.17191076387829218
1.14,0.17972350230414746
1.146667,0.18753624073000275
1.153333,0.18753624073000275
1.16,0.19534897915585803
1.166667,0.19534897915585803
1.173333,0.18753624073000275
1.18,0.17972350230414746
1.186667,0.17972350230414746
1.193333,0.18753624073000275
1.2,0.18753624073000275
1.206667,0.17972350230414746
1.213333,0.1640980254524369
1.22,0.13284707174901578
1.226667,0.10159611804559465
1.233333,0.07034516434217353
1.24,0.03128147221289712
1.246667,-0.007782219916379284
1.253333,-0.023438215277565844
1.26,-0.023438215277565844
1.266667,-0.007812738425855281
1.273333,0.015625476851710562
1.28,0.046906949064607684
1.286667,0.07815790276802881
1.293333,0.10940885647144993
1.3,0.14065981017487106
1.306667,0.14847254860072634
1.313333,0.13284707174901578
1.32,0.10159611804559465
1.326667,0.07034516434217353
1.333333,0.046906949064607684
1.34,0.02346873378704184
1.346667,0.00784325693533128
1.353333,-0.023407696768089847
1.36,-0.05468916898098697
1.366667,-0.07812738425855281
1.373333,-0.2031311990722373
1.38,-0.2031311990722373
1.386667,0.039063692129276406
1.393333,0.7031769768364513
1.4,-0.695303201391644
1.406667,-0.5234229560228278
1.413333,-0.5234229560228278
1.42,0.8438062685018464
1.426667,-0.32029175695059053
1.433333,-0.8515884884182257
1.44,-0.8515884884182257
1.446667,-0.6093935972167119
1.453333,-0.3359477523117771
1.46,-0.2578203680532243
1.466667,-0.2578203680532243
1.473333,-0.2578203680532243
1.48,-0.2031311990722373
1.486667,-0.13281655323953978
1.493333,-0.07812738425855281
1.5,-0.07812738425855281
1.506667,-0.11719107638782922
1.513333,-0.14062929166539506
1.52,-0.14844203009125034
1.526667,-0.13281655323953978
1.533333,-0.10937833796197394
1.54,-0.0859401226844081
1.546667,-0.07031464583269753
1.553333,-0.06250190740684225
1.56,-0.039063692129276406
1.566667,0.0
1.573333,0.0390942106387524
1.58,0.07815790276802881
1.586667,0.09378337961973937
1.593333,0.10940885647144993
1.6,0.1250343333231605
1.606667,0.13284707174901578
1.613333,0.14847254860072634
1.62,0.15628528702658162
1.626667,0.15628528702658162
1.633333,0.15628528702658162
1.64,0.14847254860072634
1.646667,0.14847254860072634
1.653333,0.14847254860072634
1.66,0.15628528702658162
1.666667,0.14847254860072634
1.673333,0.13284707174901578
1.68,0.09378337961973937
1.686667,0.07034516434217353
1.693333,0.054719687490462965
1.7,0.046906949064607684
1.706667,0.0390942106387524
1.713333,0.03128147221289712
1.72,0.02346873378704184
1.726667,0.02346873378704184
1.733333,0.054719687490462965
1.74,0.08597064119388409
1.746667,0.10940885647144993
1.753333,0.11722159489730521
1.76,0.1250343333231605
1.766667,0.13284707174901578
1.773333,0.13284707174901578
1.78,0.13284707174901578
1.786667,0.10940885647144993
1.793333,0.07034516434217353
1.8,0.02346873378704184
1.806667,-0.007782219916379284
1.813333,-0.039063692129276406
1.82,-0.06250190740684225
1.826667,-0.0859401226844081
1.833333,-0.09375286111026337
1.84,-0.06250190740684225
1.846667,0.007812738425855281
1.853333,0.4531693472090823
1.86,-0.7968688009277627
1.866667,-0.4140446180608539
1.873333,-0.4140446180608539
1.88,-0.9921872615741447
1.886667,-0.09372234260078738
1.893333,-0.6328318124942778
1.9,-0.6328318124942778
1.906667,-0.6172063356425672
1.913333,-0.4609515671254616
1.92,-0.23438215277565844
1.926667,-0.15625476851710562
1.933333,-0.15625476851710562
1.94,-0.1640675069429609
1.946667,-0.18750572222052675
1.953333,-0.21875667592394787
1.96,-0.23438215277565844
1.966667,-0.24219489120151372
1.973333,-0.24219489120151372
1.98,-0.21875667592394787
1.986667,-0.18750572222052675
1.993333,-0.1640675069429609
2.0,-0.14844203009125034
2.006667,-0.14062929166539506
2.013333,-0.13281655323953978
2.02,-0.1250038148136845
2.026667,-0.07812738425855281
2.033333,-0.023438215277565844
2.04,0.023438215277565844
2.046667,0.07815790276802881
2.053333,0.1250343333231605
2.06,0.17191076387829218
2.066667,0.22659993285927915
2.073333,0.26566362498855556
2.08,0.27347636341441084
2.086667,0.26566362498855556
2.093333,0.24222540971098971
2.1,0.22659993285927915
2.106667,0.21878719443342387
2.113333,0.2031617175817133
2.12,0.19534897915585803
2.126667,0.17972350230414746
2.133333,0.15628528702658162
2.14,0.14065981017487106
2.146667,0.1250343333231605
2.153333,0.10159611804559465
2.16,0.07815790276802881
2.166667,0.0390942106387524
2.173333,0.00784325693533128
2.18,-0.007782219916379284
2.186667,-0.015625476851710562
2.193333,-0.007812738425855281
2.2,0.015625476851710562
2.206667,0.054719687490462965
2.213333,0.10159611804559465
2.22,0.14847254860072634
2.226667,0.18753624073000275
2.233333,0.21878719443342387
2.24,0.23441267128513443
2.246667,0.22659993285927915
2.253333,0.17972350230414746
2.26,0.11722159489730521
2.266667,0.054719687490462965
2.273333,-0.007782219916379284
2.28,-0.07031464583269753
2.286667,-0.11719107638782922
2.293333,-0.15625476851710562
2.3,-0.14062929166539506
2.306667,0.04687643055513169
2.313333,0.5625476851710562
2.32,-0.7187414166692099
2.326667,-0.3359172338023011
2.333333,-0.3359172338023011
2.34,-0.8828089236121708
2.346667,0.00784325693533128
2.353333,-0.6015503402813807
2.36,-0.6484572893459883
2.366667,-0.6484572893459883
2.373333,-0.4687643055513169
2.38,-0.23438215277565844
2.386667,-0.1718802453688162
2.393333,-0.1718802453688162
2.4,-0.2031311990722373
2.406667,-0.27344584490493484
2.413333,-0.32032227546006653
2.42,-0.32032227546006653
2.426667,-0.2812585833307901
2.433333,-0.24219489120151372
2.44,-0.18750572222052675
2.446667,-0.1250038148136845
2.453333,-0.07812738425855281
2.46,-0.04687643055513169
2.466667,-0.023438215277565844
2.473333,-0.015625476851710562
2.48,0.031250953703421125
2.486667,0.07034516434217353
2.493333,0.08597064119388409
2.5,0.09378337961973937
2.506667,0.10159611804559465
2.513333,0.11722159489730521
2.52,0.14847254860072634
2.526667,0.17972350230414746
2.533333,0.2109744560075686
2.54,0.24222540971098971
2.546667,0.2812891018402661
2.553333,0.2969145786919767
2.56,0.2969145786919767
2.566667,0.26566362498855556
2.573333,0.23441267128513443
2.58,0.19534897915585803
2.586667,0.1640980254524369
2.593333,0.13284707174901578
2.6,0.09378337961973937
2.606667,0.06253242591631825
2.613333,0.046906949064607684
2.62,0.046906949064607684
2.626667,0.0390942106387524
2.633333,0.03128147221289712
2.64,0.03128147221289712
2.646667,0.02346873378704184
2.653333,0.03128147221289712
2.66,0.03128147221289712
2.666667,0.0390942106387524
2.673333,0.054719687490462965
2.68,0.06253242591631825
2.686667,0.054719687490462965
2.693333,0.046906949064607684
2.7,0.0390942106387524
2.706667,0.02346873378704184
2.713333,3.051850947599719e-05
2.72,-0.023407696768089847
2.726667,-0.039063692129276406
2.733333,-0.05468916898098697
2.74,-0.05468916898098697
2.746667,-0.06250190740684225
2.753333,-0.0859401226844081
2.76,-0.09375286111026337
2.766667,-0.09375286111026337
2.773333,0.2578203680532243
2.78,0.9766228217413861
2.786667,-0.6171758171330912
2.793333,-0.6171758171330912
2.8,-0.7421796319467757
2.806667,0.6250495925778985
2.813333,-0.20310068056276132
2.82,-0.5156407361064486
2.826667,-0.5156407361064486
2.833333,-0.4218878749961852
2.84,-0.3359477523117771
2.846667,-0.3359477523117771
2.853333,-0.3437604907376324
2.86,-0.3437604907376324
2.866667,-0.2890713217566454
2.873333,-0.19531846064638203
2.88,-0.1250038148136845
2.886667,-0.07812738425855281
2.893333,-0.04687643055513169
2.9,-0.015625476851710562
2.906667,0.0
2.913333,0.00784325693533128
2.92,0.00784325693533128
2.926667,0.00784325693533128
2.933333,0.00784325693533128
2.94,0.00784325693533128
2.946667,0.00784325693533128
2.953333,0.00784325693533128
2.96,0.00784325693533128
2.966667,0.00784325693533128
2.973333,0.01565599536118656
2.98,0.03128147221289712
2.986667,0.054719687490462965
2.993333,0.07034516434217353
3.0,0.09378337961973937
3.006667,0.10940885647144993
3.013333,0.13284707174901578
3.02,0.14847254860072634
3.026667,0.14847254860072634
3.033333,0.14065981017487106
3.04,0.1250343333231605
3.046667,0.10159611804559465
3.053333,0.06253242591631825
3.06,0.02346873378704184
3.066667,-0.023407696768089847
3.073333,-0.05468916898098697
3.08,-0.06250190740684225
3.086667,-0.07031464583269753
3.093333,-0.07031464583269753
3.1,-0.06250190740684225
3.106667,-0.039063692129276406
3.113333,-0.031250953703421125
3.12,-0.023438215277565844
3.126667,-0.023438215277565844
3.133333,-0.023438215277565844
3.14,-0.023438215277565844
3.146667,-0.007812738425855281
3.153333,0.007812738425855281
3.16,0.01565599536118656
3.166667,0.02346873378704184
3.173333,0.01565599536118656
3.18,3.051850947599719e-05
3.186667,-0.03122043519394513
3.193333,-0.07031464583269753
3.2,-0.11719107638782922
3.206667,-0.1640675069429609
3.213333,-0.23438215277565844
3.22,-0.23438215277565844
3.226667,-0.05468916898098697
3.233333,0.4531388286996063
3.24,-0.8437452314828944
3.246667,-0.48435926389355144
3.253333,-0.48435926389355144
3.26,-0.9609363078707236
3.266667,0.07815790276802881
3.273333,-0.6249885555589465
3.28,-0.8437757499923704
3.286667,-0.8437757499923704
3.293333,-0.7187719351786859
3.3,-0.4687643055513169
3.306667,-0.32032227546006653
3.313333,-0.2890713217566454
3.32,-0.2890713217566454
3.326667,-0.2968840601825007
3.333333,-0.2968840601825007
3.34,-0.22656941434980316
3.346667,-0.13281655323953978
3.353333,-0.1250038148136845
3.36,-0.11719107638782922
3.366667,-0.11719107638782922
3.373333,-0.11719107638782922
3.38,-0.11719107638782922
3.386667,-0.09375286111026337
3.393333,-0.07031464583269753
3.4,-0.031250953703421125
3.406667,0.0
3.413333,0.03128147221289712
3.42,0.07034516434217353
3.426667,0.10159611804559465
3.433333,0.14065981017487106
3.44,0.15628528702658162
3.446667,0.15628528702658162
3.453333,0.1640980254524369
3.46,0.1640980254524369
3.466667,0.17191076387829218
3.473333,0.17972350230414746
3.48,0.18753624073000275
3.486667,0.19534897915585803
3.493333,0.2031617175817133
3.5,0.2031617175817133
3.506667,0.19534897915585803
3.513333,0.18753624073000275
3.52,0.1640980254524369
3.526667,0.1250343333231605
3.533333,0.08597064119388409
3.54,0.046906949064607684
3.546667,0.01565599536118656
3.553333,-0.007782219916379284
3.56,-0.023438215277565844
3.566667,-0.031250953703421125
3.573333,-0.023438215277565844
3.58,0.0
3.586667,0.03128147221289712
3.593333,0.06253242591631825
3.6,0.08597064119388409
3.606667,0.09378337961973937
3.613333,0.09378337961973937
3.62,0.09378337961973937
3.626667,0.07815790276802881
3.633333,0.0390942106387524
3.64,3.051850947599719e-05
3.646667,-0.05465865047151097
3.653333,-0.09375286111026337
3.66,-0.1250038148136845
3.666667,-0.15625476851710562
3.673333,-0.250007629627369
3.68,-0.2109439374980926
3.686667,0.13281655323953978
3.693333,0.8828699606311228
3.7,-0.6640522476882229
3.706667,-0.6640522476882229
3.713333,-0.8359324930570391
3.72,0.42973113193151646
3.726667,-0.5234229560228278
3.733333,-0.9140903958250679
3.74,-0.9140903958250679
3.746667,-0.8281502731406598
3.753333,-0.6718955046235542
3.76,-0.5078279976805933
3.766667,-0.35157322916348765
3.773333,-0.2109439374980926
3.78,-0.14062929166539506
3.786667,-0.1250038148136845
3.793333,-0.11719107638782922
3.8,-0.0859401226844081
3.806667,-0.06250190740684225
3.813333,-0.06250190740684225
3.82,-0.07031464583269753
3.826667,-0.0859401226844081
3.833333,-0.0859401226844081
3.84,-0.09375286111026337
3.846667,-0.0859401226844081
